,pickup_cluster,lat,lon
16721,5,3.7,105.66
16722,5,4.4,106.12
16723,5,4.76,106.33
16724,5,5.84,106.96
16725,5,6.92,107.59
16726,5,8.0,108.23
16727,5,8.72,108.65
16728,5,9.08,108.83
16729,5,10.17,109.35
16730,5,11.27,109.87
16731,5,12.48,109.93
16732,5,13.28,109.97
16733,5,13.7,109.95
16734,0,14.93,109.9
16735,0,16.17,109.84
16736,0,17.18,109.16
16737,0,17.83,108.63
16738,0,18.21,108.47
16739,0,19.35,107.96
16740,0,20.54,108.06
16741,0,21.27,108.37
16742,4,-20.33,-40.2
16743,4,-20.35,-40.16
16744,4,-20.97,-38.94
16745,4,-21.57,-37.71
16746,4,-21.87,-37.1
16747,4,-22.19,-36.48
16748,4,-22.82,-35.23
16749,4,-23.44,-33.97
16750,4,-24.05,-32.7
16751,4,-24.25,-32.28
16752,4,-24.65,-31.42
16753,4,-25.23,-30.11
16754,4,-25.81,-28.79
16755,4,-26.37,-27.46
16756,4,-26.55,-27.02
16757,4,-26.91,-26.14
16758,4,-27.45,-24.81
16759,4,-27.98,-23.47
16760,4,-28.49,-22.11
16761,4,-28.65,-21.67
16762,4,-28.98,-20.72
16763,4,-29.46,-19.29
16764,4,-29.92,-17.85
16765,4,-30.37,-16.39
16766,4,-30.52,-15.92
16767,4,-30.81,-14.94
16768,4,-31.24,-13.48
16769,4,-31.68,-12.03
16770,1,-32.1,-10.57
16771,1,-32.17,-10.33
16772,1,-32.42,-9.24
16773,1,-32.71,-7.91
16774,1,-32.99,-6.58
16775,1,-33.25,-5.25
16776,1,-33.53,-3.98
16777,1,-33.79,-2.69
16778,1,-34.05,-1.4
16779,1,-34.28,-0.12
16780,1,-34.28,-0.12
16781,1,-34.49,1.34
16782,1,-34.68,2.81
16783,1,-34.85,4.29
16784,1,-35.0,5.75
16785,1,-35.05,7.34
16786,1,-35.08,8.94
16787,1,-35.09,10.54
16788,1,-35.08,11.85
16789,1,-35.09,12.11
16790,1,-35.14,13.65
16791,1,-35.17,15.19
16792,1,-35.17,16.73
16793,1,-35.17,18.0
16794,1,-35.17,18.23
16795,1,-35.16,19.61
16796,1,-35.13,21.0
16797,1,-35.09,22.38
16798,1,-35.05,23.28
16799,1,-35.05,23.67
16800,1,-35.06,24.82
16801,6,-35.05,25.98
16802,6,-35.03,27.13
16803,6,-35.02,27.88
16804,6,-35.02,28.29
16805,6,-35.01,29.53
